name,level,school,casting_time,range,components,material_components,duration,concentration,ritual,description,higher_levels,source
Cone of Cold,5,Evocation,1 action,Self (60-foot cone),V S M,a small crystal or glass cone,Instantaneous,false,false,"A blast of cold air erupts from your hands. Each creature in a 60-foot cone must make a Constitution saving throw. A creature takes 8d8 cold damage on a failed save, or half as much damage on a successful one.","When you cast this spell using a spell slot of 6th level or higher, the damage increases by 1d8 for each slot level above 5th.",OFFICIAL
Conjure Elemental,5,Conjuration,1 minute,90 feet,V S M,burning incense for air a soft clay for earth sulfur and phosphorus for fire or water and sand for water,1 hour,true,false,"You call forth an elemental servant. Choose an area of air, earth, fire, or water that fills a 10-foot cube within range. An elemental of challenge rating 5 or lower appropriate to the area you chose appears in an unoccupied space within 10 feet of it.","When you cast this spell using a spell slot of 6th level or higher, the challenge rating increases by 1 for each slot level above 5th.",OFFICIAL
Conjure Volley,5,Conjuration,1 action,150 feet,V S M,one piece of ammunition or one thrown weapon,Instantaneous,false,false,"You fire a piece of nonmagical ammunition from a ranged weapon or throw a nonmagical weapon into the air and choose a point within range. Hundreds of duplicates of the ammunition or weapon fall in a volley from above and then disappear. Each creature in a 40-foot-radius, 20-foot-high cylinder centered on that point must make a Dexterity saving throw. A creature takes 8d8 damage on a failed save, or half as much damage on a successful one.",,OFFICIAL
Contact Other Plane,5,Divination,1 minute,Self,V,,1 minute,false,true,"You mentally contact a demigod, the spirit of a long-dead sage, or some other mysterious entity from another plane. Contacting this extraplanar intelligence can strain or even break your mind.",,OFFICIAL
Contagion,5,Necromancy,1 action,Touch,V S,,7 days,false,false,"Your touch inflicts disease. Make a melee spell attack against a creature within your reach. On a hit, the target is poisoned.",,OFFICIAL
Creation,5,Illusion,1 minute,30 feet,V S M,a tiny piece of matter of the same type of the item you plan to create,Special,false,false,"You pull wisps of shadow material from the Shadowfell to create a nonliving object of vegetable matter within range: soft goods, rope, wood, or something similar.","When you cast this spell using a spell slot of 6th level or higher, the cube increases by 5 feet for each slot level above 5th.",OFFICIAL
Danse Macabre,5,Necromancy,1 action,60 feet,V S,,1 hour,true,false,"Threads of dark power leap from your fingers to pierce up to five Small or Medium corpses you can see within range. Each corpse immediately stands up and becomes undead.","When you cast this spell using a spell slot of 6th level or higher, you animate up to two additional corpses for each slot level above 5th.",OFFICIAL
Dawn,5,Evocation,1 action,60 feet,V S M,a sunburst pendant worth at least 100 gp,1 minute,true,false,"The light of dawn shines down on a location you specify within range. Until the spell ends, a 30-foot-radius, 40-foot-high cylinder of bright light glimmers there. This light is sunlight.",,OFFICIAL
Destructive Wave,5,Evocation,1 action,Self (30-foot radius),V,,Instantaneous,false,false,"You strike the ground, creating a burst of divine energy that ripples outward from you. Each creature you choose within 30 feet of you must succeed on a Constitution saving throw or take 5d6 thunder damage, as well as 5d6 radiant or necrotic damage (your choice), and be knocked prone.",,OFFICIAL
Dispel Evil and Good,5,Abjuration,1 action,Self,V S M,holy water or powdered silver and iron,1 minute,true,false,"Shimmering energy surrounds and protects you from fey, undead, and creatures originating from beyond the Material Plane. For the duration, celestials, elementals, fey, fiends, and undead have disadvantage on attack rolls against you.",,OFFICIAL
Dominate Person,5,Enchantment,1 action,60 feet,V S,,1 minute,true,false,"You attempt to beguile a humanoid that you can see within range. It must succeed on a Wisdom saving throw or be charmed by you for the duration.","When you cast this spell using a 6th-level spell slot, the duration is concentration, up to 10 minutes. When you use a 7th-level spell slot, the duration is concentration, up to 1 hour. When you use a spell slot of 8th level or higher, the duration is concentration, up to 8 hours.",OFFICIAL
Dream,5,Illusion,1 minute,Special,V S M,a handful of sand a dab of ink and a writing quill plucked from a sleeping bird,8 hours,false,false,"This spell shapes a creature's dreams. Choose a creature known to you as the target of this spell. The target must be on the same plane of existence as you.",,OFFICIAL
Enervation,5,Necromancy,1 action,60 feet,V S,,1 minute,true,false,"A tendril of inky darkness reaches out from you, touching a creature you can see within range to drain life from it. The target must make a Dexterity saving throw. On a successful save, the target takes 2d8 necrotic damage, and the spell ends. On a failed save, the target takes 4d8 necrotic damage.","When you cast this spell using a spell slot of 6th level or higher, the damage increases by 1d8 for each slot level above 5th.",OFFICIAL
Far Step,5,Conjuration,1 bonus action,Self,V,,1 minute,true,false,"You teleport up to 60 feet to an unoccupied space you can see. On each of your turns before the spell ends, you can use a bonus action to teleport in this way again.",,OFFICIAL
Flame Strike,5,Evocation,1 action,60 feet,V S M,a pinch of sulfur,Instantaneous,false,false,"A vertical column of divine fire roars down from the heavens in a location you specify. Each creature in a 10-foot-radius, 40-foot-high cylinder centered on a point within range must make a Dexterity saving throw. A creature takes 4d6 fire damage and 4d6 radiant damage on a failed save, or half as much damage on a successful one.","When you cast this spell using a spell slot of 6th level or higher, the fire damage or the radiant damage (your choice) increases by 1d6 for each slot level above 5th.",OFFICIAL
Geas,5,Enchantment,1 minute,60 feet,V,,30 days,false,false,"You place a magical command on a creature that you can see within range, forcing it to carry out some service or refrain from some action or course of activity as you decide.","When you cast this spell using a spell slot of 7th or 8th level, the duration is 1 year. When you cast this spell using a spell slot of 9th level, the spell lasts until it is ended by one of the spells mentioned above.",OFFICIAL
Greater Restoration,5,Abjuration,1 action,Touch,V S M,diamond dust worth at least 100 gp consumed,Instantaneous,false,false,"You imbue a creature you touch with positive energy to undo a debilitating effect. You can reduce the target's exhaustion level by one, or end one of the following effects on the target: one effect that charmed or petrified the target, one curse, any reduction to one of the target's ability scores, or one effect reducing the target's hit point maximum.",,OFFICIAL
Hallow,5,Evocation,24 hours,Touch,V S M,herbs oils and incense worth at least 1000 gp consumed,Until dispelled,false,false,"You touch a point and infuse an area around it with holy (or unholy) power. The area can have a radius up to 60 feet, and the spell fails if the radius includes an area already under the effect of a hallow spell.",,OFFICIAL
Hold Monster,5,Enchantment,1 action,90 feet,V S M,a small straight piece of iron,1 minute,true,false,"Choose a creature that you can see within range. The target must succeed on a Wisdom saving throw or be paralyzed for the duration.","When you cast this spell using a spell slot of 6th level or higher, you can target one additional creature for each slot level above 5th.",OFFICIAL
Holy Weapon,5,Evocation,1 bonus action,Touch,V S,,1 hour,true,false,"You imbue a weapon you touch with holy power. Until the spell ends, the weapon emits bright light in a 30-foot radius and dim light for an additional 30 feet. In addition, weapon attacks made with it deal an extra 2d8 radiant damage on a hit.",,OFFICIAL
Infernal Calling,5,Conjuration,1 minute,90 feet,V S M,a ruby worth at least 999 gp,1 hour,true,false,"Uttering a dark incantation, you summon a devil from the Nine Hells. You choose the devil's type, which must be one of challenge rating 6 or lower.","When you cast this spell using a spell slot of 6th level or higher, the challenge rating increases by 1 for each slot level above 5th.",OFFICIAL
